Sample,Raw Reads,On-Target Reads,%On-Target,%GT,IFI,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9,LocusName
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-U-26_S663_R1_72,34834,32828,94.24,81.97,0.77,1828,132,2,377,859,2253,16,598,2,1570,35,10,1268,19,9,423,21,64,3309,60,167,250,35,701,4,2807,140,65,74,441,92,815,917,12,4,1657,464,36,31,655,254,1508,305,134,207,306,1,373,510,750,617,126,12,15,1438,913,676,229,2023,209,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_Bterr03_negative1_S744_R1_72,1572,3,0.19,0.00,0.00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_BAT-U-28_S543_R1_72,31688,29729,93.82,78.69,0.33,2193,72,1,290,510,423,6,416,115,1472,348,4,1227,14,8,457,15,13,4012,46,79,2,26,475,33,3335,95,52,29,188,60,731,705,7,0,1468,411,0,0,824,195,1192,155,88,278,253,253,266,599,444,125,50,11,10,2239,819,1119,150,1191,130,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-F-35_S671_R1_72,31259,29298,93.73,86.89,0.54,1082,181,3,195,1319,1767,2,670,99,1509,842,15,1749,11,3,281,16,68,1788,159,342,124,69,690,18,1754,178,57,75,584,117,668,780,10,1,1128,362,96,25,589,370,1230,354,247,543,322,186,434,400,1035,682,112,7,16,673,997,454,138,1407,265,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-F-16_S610_R1_72,30577,28854,94.37,85.25,0.64,1668,64,0,374,522,1487,11,446,56,2006,494,1,2147,9,6,358,36,12,3020,62,255,145,38,838,24,2626,117,28,32,370,64,779,802,5,5,1701,425,58,19,367,199,1239,250,195,401,232,172,146,290,469,345,94,0,21,16,860,887,193,1242,126,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-F-04_S564_R1_72,29207,27568,94.39,75.41,0.82,1376,89,4,372,763,2028,7,488,136,1280,608,6,1371,4,2,365,3,24,2092,43,250,120,21,1110,8,2051,46,27,32,300,85,748,717,5,0,1233,378,21,13,587,241,1311,222,88,418,298,0,152,614,672,385,90,6,5,1018,878,726,124,1354,153,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_TAU-F-56_S780_R1_72,34846,30356,87.11,62.30,3.13,2026,168,2,8,1127,1959,0,0,1,1855,99,11,0,1,9,0,30,61,3051,147,414,360,51,1616,47,2767,190,96,60,515,116,0,1230,12,2,1837,0,6,0,946,420,1786,356,8,648,0,1,594,330,2,0,124,0,11,1473,1259,1,301,1978,244,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-U-58_S666_R1_72,33564,31720,94.51,90.16,0.07,1234,237,6,492,1457,2094,10,681,254,1596,1174,14,0,11,11,379,30,147,2074,253,232,111,85,905,6,2045,224,55,103,1011,237,770,783,16,0,1379,390,33,31,526,349,1367,546,173,739,345,2,273,650,1286,240,114,10,19,689,1040,509,296,1703,274,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_TAU-U-29_S735_R1_72,37413,31231,83.48,68.85,0.09,2010,211,6,4,1210,2994,0,0,3,2037,123,16,2,0,12,0,43,74,2157,163,258,408,75,1780,64,2915,263,86,82,590,141,1,833,4,1,1785,0,10,0,1073,430,1878,438,10,760,0,1,729,174,2,0,32,0,25,1212,1364,19,363,2091,269,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-F-34_S659_R1_72,33069,30850,93.29,78.69,1.07,1772,29,0,366,724,2370,6,379,40,2245,630,3,2227,10,1,0,26,24,2967,74,254,93,20,469,16,2751,95,23,30,376,52,834,762,4,1,1754,439,15,18,429,188,1314,239,96,443,176,0,142,276,578,365,84,6,9,1323,1031,533,190,1364,165,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_TAU-U-27_S723_R1_72,36006,34247,95.11,85.25,0.76,1767,156,6,447,1076,828,14,645,281,2028,94,10,0,11,10,1026,36,59,2666,163,387,237,56,757,60,2562,250,50,70,610,137,1012,914,8,4,1826,623,113,0,773,349,1608,302,318,334,392,1,234,823,961,555,164,20,14,1305,1210,1401,304,1940,240,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-U-14_S626_R1_72,28721,26621,92.69,85.25,0.28,1977,57,2,232,360,956,11,317,79,1312,277,4,849,10,5,0,5,10,4143,46,139,127,22,872,31,2473,62,44,29,145,57,596,691,7,0,1383,320,14,23,502,149,1023,126,121,243,230,225,229,120,691,393,40,12,5,2343,565,726,121,976,94,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_TAU-U-14_S710_R1_72,30411,29093,95.67,81.97,0.35,1639,96,0,356,665,2083,12,429,95,2037,42,3,0,2,5,488,14,20,2704,68,288,155,30,885,0,2357,134,39,32,318,81,801,783,3,3,1455,488,34,19,555,244,1294,265,211,463,191,183,366,396,1016,99,98,8,17,1320,959,907,189,1485,164,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_GLO-U-71_S608_R1_72,26109,24659,94.45,78.69,0.79,1315,77,2,285,616,1744,4,384,129,1607,567,4,1714,5,2,296,14,28,2157,82,217,135,34,381,14,1876,59,22,42,427,86,418,637,6,1,1348,352,30,34,338,153,1031,242,180,187,185,1,310,304,485,280,79,8,16,879,774,588,168,1158,142,0
./Bee_Forward_Reads_Genotypes/BCAI_terrestris_TAU-F-54_S770_R1_72,32193,28382,88.16,67.21,0.05,1442,285,8,14,1428,2300,0,0,2,1539,175,22,0,0,17,0,54,129,2273,258,263,332,108,1528,73,2117,309,97,135,802,232,9,1065,14,8,1556,0,19,0,756,510,1604,582,0,837,0,2,769,0,4,0,194,0,23,925,1048,0,372,1818,325,0
